boss_id,wave,turn_limit,enrage_turn,enrage_skillId,elemental_type,level,hp,atk,def,cri,hit,spd
900001,1,150,30,510001,Wind,50,23580,98,31,4,253,482
900001,2,150,30,510002,Wind,190,90000,1161,226,4,3521,3358
900001,3,150,30,510003,Wind,260,600000,3866,899,4,15012,16683
900001,4,150,30,510004,Wind,350,7285676,45546,5706,4,29211,80582
900001,5,150,30,510005,Wind,400,60000000,1435879,231336,4,768366,141018
900002,1,150,30,510001,Fire,50,23580,98,31,4,253,482
900002,2,150,30,510002,Fire,190,90000,1161,226,4,3521,3358
900002,3,150,30,510003,Fire,260,600000,3866,899,4,15012,8745
900002,4,150,30,510004,Fire,350,7285676,45546,5706,4,29211,42239
900002,5,150,30,510005,Fire,400,60000000,1435879,231336,4,768366,73917
